freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,15.0,30.0,35.0,23478.0,0.097,0.236,-0.236,-0.139,513219.0
5.0,15.0,40.0,5.0,46687.0,0.039,0.236,-0.236,-0.197,513219.0
5.0,15.0,40.0,10.0,34413.0,0.046,0.236,-0.236,-0.19,513219.0
5.0,15.0,40.0,15.0,28959.0,0.133,0.236,-0.236,-0.103,513219.0
5.0,15.0,40.0,20.0,25987.0,0.082,0.236,-0.236,-0.154,513219.0
5.0,15.0,40.0,25.0,23932.0,0.095,0.236,-0.236,-0.141,513219.0
5.0,15.0,40.0,30.0,22546.0,0.109,0.236,-0.236,-0.127,513219.0
5.0,15.0,40.0,35.0,21550.0,0.075,0.236,-0.236,-0.161,513219.0
5.0,15.0,50.0,5.0,45105.0,0.028,0.236,-0.236,-0.208,513219.0
5.0,15.0,50.0,10.0,32975.0,0.073,0.236,-0.236,-0.163,513219.0
5.0,15.0,50.0,15.0,27663.0,0.056,0.236,-0.236,-0.18,513219.0
5.0,15.0,50.0,20.0,24710.0,0.075,0.236,-0.236,-0.161,513219.0
5.0,15.0,50.0,25.0,22682.0,0.116,0.236,-0.236,-0.12,513219.0
5.0,15.0,50.0,30.0,21366.0,0.093,0.236,-0.236,-0.143,513219.0
5.0,15.0,50.0,35.0,20242.0,0.089,0.236,-0.236,-0.147,513219.0
5.0,20.0,30.0,5.0,44407.0,0.068,0.236,-0.236,-0.168,513219.0
5.0,20.0,30.0,10.0,32883.0,0.07,0.236,-0.236,-0.166,513219.0
5.0,20.0,30.0,15.0,27757.0,0.093,0.236,-0.236,-0.143,513219.0
5.0,20.0,30.0,20.0,24939.0,0.135,0.236,-0.236,-0.101,513219.0
5.0,20.0,30.0,25.0,23034.0,0.149,0.236,-0.236,-0.087,513219.0
5.0,20.0,30.0,30.0,21738.0,0.154,0.236,-0.236,-0.082,513219.0
5.0,20.0,30.0,35.0,20806.0,0.101,0.236,-0.236,-0.135,513219.0
5.0,20.0,40.0,5.0,41757.0,0.031,0.236,-0.236,-0.205,513219.0
5.0,20.0,40.0,10.0,30429.0,0.129,0.236,-0.236,-0.107,513219.0
5.0,20.0,40.0,15.0,25729.0,0.096,0.236,-0.236,-0.14,513219.0
5.0,20.0,40.0,20.0,22998.0,0.12,0.236,-0.236,-0.116,513219.0
5.0,20.0,40.0,25.0,21228.0,0.104,0.236,-0.236,-0.132,513219.0
5.0,20.0,40.0,30.0,19898.0,0.123,0.236,-0.236,-0.113,513219.0
5.0,20.0,40.0,35.0,18924.0,0.16,0.236,-0.236,-0.076,513219.0
5.0,20.0,50.0,5.0,40229.0,0.017,0.236,-0.236,-0.219,513219.0
5.0,20.0,50.0,10.0,29161.0,0.05,0.236,-0.236,-0.186,513219.0
5.0,20.0,50.0,15.0,24490.0,0.063,0.236,-0.236,-0.173,513219.0
5.0,20.0,50.0,20.0,21816.0,0.088,0.236,-0.236,-0.148,513219.0
5.0,20.0,50.0,25.0,19958.0,0.119,0.236,-0.236,-0.117,513219.0
5.0,20.0,50.0,30.0,18704.0,0.144,0.236,-0.236,-0.092,513219.0
5.0,20.0,50.0,35.0,17790.0,0.056,0.236,-0.236,-0.18,513219.0
5.0,25.0,40.0,5.0,38625.0,0.028,0.236,-0.236,-0.208,513219.0
5.0,25.0,40.0,10.0,28045.0,0.083,0.236,-0.236,-0.153,513219.0
5.0,25.0,40.0,15.0,23600.0,0.082,0.236,-0.236,-0.154,513219.0
5.0,25.0,40.0,20.0,21098.0,0.12,0.236,-0.236,-0.116,513219.0
5.0,25.0,40.0,25.0,19438.0,0.14,0.236,-0.236,-0.096,513219.0
5.0,25.0,40.0,30.0,18106.0,0.194,0.236,-0.236,-0.042,513219.0
5.0,25.0,40.0,35.0,17282.0,0.073,0.236,-0.236,-0.163,513219.0
5.0,25.0,50.0,5.0,36789.0,0.022,0.236,-0.236,-0.214,513219.0
5.0,25.0,50.0,10.0,26818.0,0.05,0.236,-0.236,-0.186,513219.0
5.0,25.0,50.0,15.0,22404.0,0.105,0.236,-0.236,-0.131,513219.0
5.0,25.0,50.0,20.0,19834.0,0.129,0.236,-0.236,-0.107,513219.0
5.0,25.0,50.0,25.0,18232.0,0.129,0.236,-0.236,-0.107,513219.0
5.0,25.0,50.0,30.0,17182.0,0.041,0.236,-0.236,-0.195,513219.0
5.0,25.0,50.0,35.0,16262.0,0.02,0.236,-0.236,-0.216,513219.0
15.0,5.0,20.0,5.0,28385.0,0.014,0.247,-0.247,-0.233,171076.0
15.0,5.0,20.0,10.0,22050.0,0.007,0.247,-0.247,-0.24,171076.0
15.0,5.0,20.0,15.0,19344.0,0.007,0.247,-0.247,-0.24,171076.0
15.0,5.0,20.0,20.0,17842.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,5.0,20.0,25.0,16830.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,5.0,20.0,30.0,16210.0,0.001,0.247,-0.247,-0.246,171076.0
15.0,5.0,20.0,35.0,15756.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,5.0,30.0,5.0,26934.0,0.006,0.247,-0.247,-0.241,171076.0
15.0,5.0,30.0,10.0,20420.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,5.0,30.0,15.0,17634.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,5.0,30.0,20.0,16068.0,0.001,0.247,-0.247,-0.246,171076.0
15.0,5.0,30.0,25.0,15072.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,5.0,30.0,30.0,14248.0,0.005,0.247,-0.247,-0.242,171076.0
15.0,5.0,30.0,35.0,13706.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,5.0,40.0,5.0,26414.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,5.0,40.0,10.0,19662.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,5.0,40.0,15.0,16804.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,5.0,40.0,20.0,15176.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,5.0,40.0,25.0,13990.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,5.0,40.0,30.0,13306.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,5.0,40.0,35.0,12754.0,0.001,0.247,-0.247,-0.246,171076.0
15.0,5.0,50.0,5.0,26064.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,5.0,50.0,10.0,19268.0,0.001,0.247,-0.247,-0.246,171076.0
15.0,5.0,50.0,15.0,16272.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,5.0,50.0,20.0,14466.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,5.0,50.0,25.0,13480.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,5.0,50.0,30.0,12642.0,0.001,0.247,-0.247,-0.246,171076.0
15.0,5.0,50.0,35.0,12062.0,0.002,0.247,-0.247,-0.245,171076.0
15.0,10.0,20.0,5.0,20798.0,0.009,0.247,-0.247,-0.238,171076.0
15.0,10.0,20.0,10.0,15794.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,10.0,20.0,15.0,13616.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,10.0,20.0,20.0,12552.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,10.0,20.0,25.0,11828.0,0.004,0.247,-0.247,-0.243,171076.0
15.0,10.0,20.0,30.0,11270.0,0.003,0.247,-0.247,-0.244,171076.0
15.0,10.0,20.0,35.0,10844.0,0.004,0.247,-0.247,-0.243,171076.0
