freq,SMA_S,SMA_L,Signal_Mw,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
5.0,15.0,40.0,5.0,43007.0,1.402,0.362,-0.362,1.04,474155.0
5.0,15.0,40.0,10.0,31715.0,3.58,0.362,-0.362,3.218,474155.0
5.0,15.0,40.0,15.0,26880.0,2.095,0.362,-0.362,1.733,474155.0
5.0,15.0,40.0,20.0,24104.0,1.691,0.362,-0.362,1.329,474155.0
5.0,15.0,40.0,25.0,22264.0,1.74,0.362,-0.362,1.378,474155.0
5.0,15.0,40.0,30.0,20990.0,0.856,0.362,-0.362,0.494,474155.0
5.0,15.0,40.0,35.0,20054.0,0.587,0.362,-0.362,0.225,474155.0
5.0,15.0,50.0,5.0,41525.0,1.298,0.362,-0.362,0.936,474155.0
5.0,15.0,50.0,10.0,30415.0,1.964,0.362,-0.362,1.602,474155.0
5.0,15.0,50.0,15.0,25720.0,1.297,0.362,-0.362,0.935,474155.0
5.0,15.0,50.0,20.0,22930.0,1.528,0.362,-0.362,1.166,474155.0
5.0,15.0,50.0,25.0,21128.0,0.898,0.362,-0.362,0.536,474155.0
5.0,15.0,50.0,30.0,19820.0,0.433,0.362,-0.362,0.071,474155.0
5.0,15.0,50.0,35.0,18836.0,0.472,0.362,-0.362,0.11,474155.0
5.0,20.0,30.0,5.0,40917.0,2.087,0.362,-0.362,1.725,474155.0
5.0,20.0,30.0,10.0,30083.0,5.644,0.362,-0.362,5.282,474155.0
5.0,20.0,30.0,15.0,25712.0,2.743,0.362,-0.362,2.381,474155.0
5.0,20.0,30.0,20.0,23080.0,1.567,0.362,-0.362,1.205,474155.0
5.0,20.0,30.0,25.0,21406.0,1.63,0.362,-0.362,1.268,474155.0
5.0,20.0,30.0,30.0,20274.0,1.085,0.362,-0.362,0.723,474155.0
5.0,20.0,30.0,35.0,19434.0,0.677,0.362,-0.362,0.315,474155.0
5.0,20.0,40.0,5.0,38363.0,1.262,0.362,-0.362,0.9,474155.0
5.0,20.0,40.0,10.0,28275.0,2.479,0.362,-0.362,2.117,474155.0
5.0,20.0,40.0,15.0,23918.0,1.42,0.362,-0.362,1.058,474155.0
5.0,20.0,40.0,20.0,21480.0,1.43,0.362,-0.362,1.068,474155.0
5.0,20.0,40.0,25.0,19824.0,0.607,0.362,-0.362,0.245,474155.0
5.0,20.0,40.0,30.0,18554.0,0.612,0.362,-0.362,0.25,474155.0
5.0,20.0,40.0,35.0,17654.0,0.45,0.362,-0.362,0.088,474155.0
5.0,20.0,50.0,5.0,36991.0,0.781,0.362,-0.362,0.419,474155.0
5.0,20.0,50.0,10.0,26992.0,1.199,0.362,-0.362,0.837,474155.0
5.0,20.0,50.0,15.0,22722.0,1.609,0.362,-0.362,1.247,474155.0
5.0,20.0,50.0,20.0,20298.0,0.906,0.362,-0.362,0.544,474155.0
5.0,20.0,50.0,25.0,18658.0,0.477,0.362,-0.362,0.115,474155.0
5.0,20.0,50.0,30.0,17480.0,0.417,0.362,-0.362,0.055,474155.0
5.0,20.0,50.0,35.0,16598.0,0.274,0.362,-0.362,-0.088,474155.0
5.0,25.0,40.0,5.0,35593.0,0.704,0.362,-0.362,0.342,474155.0
5.0,25.0,40.0,10.0,26080.0,1.236,0.362,-0.362,0.874,474155.0
5.0,25.0,40.0,15.0,21948.0,1.569,0.362,-0.362,1.207,474155.0
5.0,25.0,40.0,20.0,19700.0,0.587,0.362,-0.362,0.225,474155.0
5.0,25.0,40.0,25.0,18080.0,0.553,0.362,-0.362,0.191,474155.0
5.0,25.0,40.0,30.0,16942.0,0.449,0.362,-0.362,0.087,474155.0
5.0,25.0,40.0,35.0,16224.0,0.207,0.362,-0.362,-0.155,474155.0
5.0,25.0,50.0,5.0,34117.0,0.535,0.362,-0.362,0.173,474155.0
5.0,25.0,50.0,10.0,24874.0,1.177,0.362,-0.362,0.815,474155.0
5.0,25.0,50.0,15.0,20888.0,0.68,0.362,-0.362,0.318,474155.0
5.0,25.0,50.0,20.0,18564.0,0.496,0.362,-0.362,0.134,474155.0
5.0,25.0,50.0,25.0,17064.0,0.456,0.362,-0.362,0.094,474155.0
5.0,25.0,50.0,30.0,16032.0,0.232,0.362,-0.362,-0.13,474155.0
