freq,sma_s,sma_l,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
55.0,25.0,50.0,1060.0,0.936,0.362,-0.038,0.574,43127.0
65.0,10.0,30.0,1502.0,1.29,0.364,-0.077,0.926,36497.0
65.0,10.0,40.0,1246.0,1.952,0.364,0.198,1.588,36497.0
65.0,10.0,50.0,1030.0,7.366,0.364,2.266,7.002,36497.0
65.0,15.0,30.0,1444.0,1.725,0.364,0.043,1.361,36497.0
65.0,15.0,40.0,1088.0,5.142,0.364,1.368,4.778,36497.0
65.0,15.0,50.0,914.0,2.855,0.364,0.781,2.491,36497.0
65.0,20.0,30.0,1560.0,0.693,0.364,-0.218,0.329,36497.0
65.0,20.0,40.0,1102.0,1.497,0.364,0.133,1.133,36497.0
65.0,20.0,50.0,888.0,2.907,0.364,0.832,2.543,36497.0
65.0,25.0,30.0,1960.0,0.33,0.364,-0.318,-0.034,36497.0
65.0,25.0,40.0,1174.0,0.457,0.364,-0.223,0.093,36497.0
65.0,25.0,50.0,882.0,1.883,0.364,0.416,1.519,36497.0
75.0,10.0,30.0,1338.0,1.024,0.366,-0.097,0.658,31632.0
75.0,10.0,40.0,1036.0,4.781,0.366,1.331,4.415,31632.0
75.0,10.0,50.0,888.0,5.439,0.366,1.872,5.073,31632.0
75.0,15.0,30.0,1280.0,2.351,0.366,0.288,1.985,31632.0
75.0,15.0,40.0,976.0,2.85,0.366,0.708,2.484,31632.0
75.0,15.0,50.0,800.0,2.754,0.366,0.871,2.388,31632.0
75.0,20.0,30.0,1368.0,0.344,0.366,-0.278,-0.022,31632.0
75.0,20.0,40.0,978.0,1.534,0.366,0.211,1.168,31632.0
75.0,20.0,50.0,744.0,2.453,0.366,0.8,2.087,31632.0
75.0,25.0,30.0,1690.0,0.652,0.366,-0.246,0.286,31632.0
75.0,25.0,40.0,976.0,2.571,0.366,0.603,2.205,31632.0
75.0,25.0,50.0,756.0,3.711,0.366,1.376,3.345,31632.0
85.0,10.0,30.0,1140.0,3.707,0.369,0.817,3.338,27916.0
85.0,10.0,40.0,928.0,3.34,0.369,0.952,2.971,27916.0
85.0,10.0,50.0,770.0,6.93,0.369,2.839,6.561,27916.0
85.0,15.0,30.0,1114.0,1.897,0.369,0.254,1.528,27916.0
85.0,15.0,40.0,856.0,2.074,0.369,0.512,1.705,27916.0
85.0,15.0,50.0,706.0,1.973,0.369,0.605,1.604,27916.0
85.0,20.0,30.0,1208.0,0.703,0.369,-0.159,0.334,27916.0
85.0,20.0,40.0,834.0,2.171,0.369,0.574,1.802,27916.0
85.0,20.0,50.0,668.0,4.422,0.369,1.898,4.053,27916.0
85.0,25.0,30.0,1504.0,1.373,0.369,-0.064,1.004,27916.0
85.0,25.0,40.0,860.0,3.232,0.369,0.999,2.863,27916.0
85.0,25.0,50.0,644.0,7.778,0.369,3.716,7.409,27916.0
95.0,10.0,30.0,1034.0,4.164,0.367,1.114,3.797,24980.0
95.0,10.0,40.0,812.0,3.71,0.367,1.28,3.343,24980.0
95.0,10.0,50.0,686.0,5.635,0.367,2.471,5.268,24980.0
95.0,15.0,30.0,1030.0,1.393,0.367,0.13,1.026,24980.0
95.0,15.0,40.0,760.0,2.768,0.367,0.928,2.401,24980.0
95.0,15.0,50.0,606.0,3.017,0.367,1.279,2.65,24980.0
95.0,20.0,30.0,1086.0,1.121,0.367,0.011,0.754,24980.0
95.0,20.0,40.0,738.0,4.27,0.367,1.674,3.903,24980.0
95.0,20.0,50.0,578.0,8.755,0.367,4.545,8.388,24980.0
95.0,25.0,30.0,1382.0,3.748,0.367,0.574,3.381,24980.0
95.0,25.0,40.0,786.0,5.091,0.367,1.953,4.724,24980.0
95.0,25.0,50.0,570.0,5.036,0.367,2.481,4.669,24980.0
105.0,10.0,30.0,922.0,4.699,0.368,1.501,4.331,22600.0
105.0,10.0,40.0,724.0,6.134,0.368,2.606,5.766,22600.0
105.0,10.0,50.0,602.0,3.932,0.368,1.785,3.564,22600.0
105.0,15.0,30.0,912.0,2.479,0.368,0.628,2.111,22600.0
105.0,15.0,40.0,678.0,3.899,0.368,1.611,3.531,22600.0
105.0,15.0,50.0,536.0,6.049,0.368,3.171,5.681,22600.0
105.0,20.0,30.0,950.0,3.45,0.368,0.966,3.082,22600.0
105.0,20.0,40.0,668.0,8.504,0.368,3.992,8.136,22600.0
105.0,20.0,50.0,510.0,7.321,0.368,4.028,6.953,22600.0
105.0,25.0,30.0,1224.0,3.233,0.368,0.583,2.865,22600.0
105.0,25.0,40.0,698.0,3.561,0.368,1.404,3.193,22600.0
105.0,25.0,50.0,516.0,5.464,0.368,2.893,5.096,22600.0
115.0,10.0,30.0,836.0,5.483,0.364,2.013,5.119,20636.0
115.0,10.0,40.0,646.0,7.32,0.364,3.472,6.956,20636.0
115.0,10.0,50.0,524.0,6.948,0.364,3.75,6.584,20636.0
115.0,15.0,30.0,812.0,4.848,0.364,1.788,4.484,20636.0
115.0,15.0,40.0,608.0,6.83,0.364,3.354,6.466,20636.0
115.0,15.0,50.0,478.0,5.975,0.364,3.341,5.611,20636.0
115.0,20.0,30.0,868.0,5.971,0.364,2.143,5.607,20636.0
115.0,20.0,40.0,596.0,6.267,0.364,3.089,5.903,20636.0
115.0,20.0,50.0,460.0,3.936,0.364,2.12,3.572,20636.0
115.0,25.0,30.0,1088.0,1.23,0.364,0.05,0.866,20636.0
115.0,25.0,40.0,632.0,1.919,0.364,0.656,1.555,20636.0
115.0,25.0,50.0,460.0,2.531,0.364,1.234,2.167,20636.0
