freq,sma_s,sma_l,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
55.0,25.0,40.0,1425.0,0.052,0.251,-0.239,-0.199,46687.0
55.0,25.0,50.0,1113.0,0.368,0.251,-0.13,0.117,46687.0
65.0,10.0,30.0,1605.0,0.255,0.236,-0.185,0.019,39510.0
65.0,10.0,40.0,1263.0,0.598,0.236,-0.067,0.362,39510.0
65.0,10.0,50.0,1075.0,1.388,0.236,0.238,1.152,39510.0
65.0,15.0,30.0,1515.0,0.604,0.236,-0.103,0.368,39510.0
65.0,15.0,40.0,1179.0,0.432,0.236,-0.103,0.196,39510.0
65.0,15.0,50.0,957.0,1.171,0.236,0.214,0.935,39510.0
65.0,20.0,30.0,1593.0,0.215,0.236,-0.192,-0.021,39510.0
65.0,20.0,40.0,1155.0,0.311,0.236,-0.138,0.075,39510.0
65.0,20.0,50.0,891.0,1.099,0.236,0.215,0.863,39510.0
65.0,25.0,30.0,1995.0,0.082,0.236,-0.225,-0.154,39510.0
65.0,25.0,40.0,1215.0,0.163,0.236,-0.188,-0.073,39510.0
65.0,25.0,50.0,897.0,0.571,0.236,-0.003,0.335,39510.0
75.0,10.0,30.0,1379.0,0.388,0.233,-0.135,0.155,34238.0
75.0,10.0,40.0,1077.0,1.351,0.233,0.227,1.118,34238.0
75.0,10.0,50.0,959.0,0.93,0.233,0.123,0.697,34238.0
75.0,15.0,30.0,1367.0,0.216,0.233,-0.178,-0.017,34238.0
75.0,15.0,40.0,1003.0,0.99,0.233,0.13,0.757,34238.0
75.0,15.0,50.0,843.0,0.893,0.233,0.152,0.66,34238.0
75.0,20.0,30.0,1429.0,0.069,0.233,-0.216,-0.164,34238.0
75.0,20.0,40.0,1023.0,0.71,0.233,0.022,0.477,34238.0
75.0,20.0,50.0,799.0,0.727,0.233,0.094,0.494,34238.0
75.0,25.0,30.0,1739.0,0.066,0.233,-0.221,-0.167,34238.0
75.0,25.0,40.0,1039.0,0.864,0.233,0.073,0.631,34238.0
75.0,25.0,50.0,775.0,1.049,0.233,0.25,0.816,34238.0
85.0,10.0,30.0,1243.0,0.452,0.224,-0.094,0.228,30214.0
85.0,10.0,40.0,955.0,0.925,0.224,0.132,0.701,30214.0
85.0,10.0,50.0,821.0,0.866,0.224,0.157,0.642,30214.0
85.0,15.0,30.0,1189.0,0.216,0.224,-0.158,-0.008,30214.0
85.0,15.0,40.0,857.0,0.817,0.224,0.123,0.593,30214.0
85.0,15.0,50.0,741.0,0.821,0.224,0.167,0.597,30214.0
85.0,20.0,30.0,1265.0,0.154,0.224,-0.18,-0.07,30214.0
85.0,20.0,40.0,855.0,0.849,0.224,0.137,0.625,30214.0
85.0,20.0,50.0,679.0,1.593,0.224,0.584,1.369,30214.0
85.0,25.0,30.0,1555.0,0.108,0.224,-0.201,-0.116,30214.0
85.0,25.0,40.0,911.0,1.257,0.224,0.281,1.033,30214.0
85.0,25.0,50.0,673.0,1.232,0.224,0.405,1.008,30214.0
95.0,10.0,30.0,1097.0,0.848,0.22,0.063,0.628,27036.0
95.0,10.0,40.0,867.0,1.092,0.22,0.239,0.872,27036.0
95.0,10.0,50.0,725.0,0.994,0.22,0.261,0.774,27036.0
95.0,15.0,30.0,1079.0,0.296,0.22,-0.119,0.076,27036.0
95.0,15.0,40.0,787.0,0.627,0.22,0.066,0.407,27036.0
95.0,15.0,50.0,659.0,1.219,0.22,0.411,0.999,27036.0
95.0,20.0,30.0,1115.0,0.409,0.22,-0.086,0.189,27036.0
95.0,20.0,40.0,759.0,1.184,0.22,0.334,0.964,27036.0
95.0,20.0,50.0,613.0,3.572,0.22,1.715,3.352,27036.0
95.0,25.0,30.0,1365.0,0.72,0.22,-0.036,0.5,27036.0
95.0,25.0,40.0,787.0,0.649,0.22,0.076,0.429,27036.0
95.0,25.0,50.0,599.0,1.686,0.22,0.706,1.466,27036.0
105.0,10.0,30.0,965.0,1.546,0.225,0.364,1.321,24463.0
105.0,10.0,40.0,759.0,1.412,0.225,0.436,1.187,24463.0
105.0,10.0,50.0,675.0,1.111,0.225,0.341,0.886,24463.0
105.0,15.0,30.0,933.0,0.857,0.225,0.112,0.632,24463.0
105.0,15.0,40.0,689.0,1.553,0.225,0.555,1.328,24463.0
105.0,15.0,50.0,597.0,2.209,0.225,0.991,1.984,24463.0
105.0,20.0,30.0,995.0,1.407,0.225,0.295,1.182,24463.0
105.0,20.0,40.0,665.0,2.018,0.225,0.813,1.793,24463.0
105.0,20.0,50.0,571.0,1.171,0.225,0.436,0.946,24463.0
105.0,25.0,30.0,1257.0,0.969,0.225,0.051,0.744,24463.0
105.0,25.0,40.0,733.0,1.04,0.225,0.275,0.815,24463.0
105.0,25.0,50.0,555.0,1.064,0.225,0.386,0.839,24463.0
115.0,10.0,30.0,885.0,0.637,0.237,0.026,0.4,22334.0
115.0,10.0,40.0,705.0,0.691,0.237,0.105,0.454,22334.0
115.0,10.0,50.0,597.0,1.16,0.237,0.401,0.923,22334.0
115.0,15.0,30.0,831.0,1.286,0.237,0.323,1.049,22334.0
115.0,15.0,40.0,643.0,2.344,0.237,0.995,2.107,22334.0
115.0,15.0,50.0,539.0,1.072,0.237,0.389,0.835,22334.0
115.0,20.0,30.0,917.0,1.29,0.237,0.279,1.053,22334.0
115.0,20.0,40.0,615.0,2.377,0.237,1.048,2.14,22334.0
115.0,20.0,50.0,519.0,0.801,0.237,0.24,0.564,22334.0
115.0,25.0,30.0,1139.0,0.492,0.237,-0.08,0.255,22334.0
115.0,25.0,40.0,657.0,0.635,0.237,0.092,0.398,22334.0
115.0,25.0,50.0,519.0,0.453,0.237,0.033,0.216,22334.0
