freq,sma_s,sma_l,num_trades,strat_multiple,bh_multiple,outperf_net,outperf,num_samples
55.0,25.0,30.0,2459.0,6.581,4.676,-4.113,1.905,49740.0
55.0,25.0,40.0,1480.0,1.776,4.676,-4.272,-2.9,49740.0
55.0,25.0,50.0,1178.0,3.008,4.676,-3.75,-1.668,49740.0
65.0,10.0,30.0,1704.0,10.042,4.674,-2.847,5.368,42091.0
65.0,10.0,40.0,1344.0,8.198,4.674,-2.536,3.524,42091.0
65.0,10.0,50.0,1088.0,18.647,4.674,1.608,13.973,42091.0
65.0,15.0,30.0,1614.0,23.258,4.674,-0.044,18.584,42091.0
65.0,15.0,40.0,1256.0,25.638,4.674,2.628,20.964,42091.0
65.0,15.0,50.0,958.0,18.003,4.674,2.233,13.329,42091.0
65.0,20.0,30.0,1718.0,4.01,4.674,-3.954,-0.664,42091.0
65.0,20.0,40.0,1240.0,4.242,4.674,-3.446,-0.432,42091.0
65.0,20.0,50.0,982.0,5.94,4.674,-2.449,1.266,42091.0
65.0,25.0,30.0,2138.0,1.374,4.674,-4.512,-3.3,42091.0
65.0,25.0,40.0,1256.0,1.177,4.674,-4.339,-3.497,42091.0
65.0,25.0,50.0,968.0,4.413,4.674,-2.998,-0.261,42091.0
75.0,10.0,30.0,1494.0,8.488,4.675,-2.77,3.813,36482.0
75.0,10.0,40.0,1142.0,34.465,4.675,6.325,29.79,36482.0
75.0,10.0,50.0,958.0,19.72,4.675,2.891,15.045,36482.0
75.0,15.0,30.0,1404.0,11.952,4.675,-1.74,7.277,36482.0
75.0,15.0,40.0,1054.0,11.115,4.675,-0.801,6.44,36482.0
75.0,15.0,50.0,856.0,13.553,4.675,1.083,8.878,36482.0
75.0,20.0,30.0,1480.0,1.411,4.675,-4.354,-3.264,36482.0
75.0,20.0,40.0,1100.0,2.733,4.675,-3.765,-1.942,36482.0
75.0,20.0,50.0,800.0,10.912,4.675,0.228,6.237,36482.0
75.0,25.0,30.0,1824.0,0.651,4.675,-4.57,-4.024,36482.0
75.0,25.0,40.0,1076.0,3.207,4.675,-3.582,-1.468,36482.0
75.0,25.0,50.0,812.0,8.713,4.675,-0.807,4.038,36482.0
85.0,10.0,30.0,1290.0,17.374,4.697,0.086,12.677,32194.0
85.0,10.0,40.0,964.0,18.574,4.697,2.386,13.877,32194.0
85.0,10.0,50.0,824.0,26.442,4.697,6.902,21.745,32194.0
85.0,15.0,30.0,1272.0,3.373,4.697,-3.752,-1.324,32194.0
85.0,15.0,40.0,924.0,8.722,4.697,-1.235,4.025,32194.0
85.0,15.0,50.0,752.0,17.379,4.697,3.496,12.682,32194.0
85.0,20.0,30.0,1304.0,0.958,4.697,-4.437,-3.739,32194.0
85.0,20.0,40.0,920.0,7.403,4.697,-1.747,2.706,32194.0
85.0,20.0,50.0,714.0,11.504,4.697,0.936,6.807,32194.0
85.0,25.0,30.0,1626.0,1.142,4.697,-4.472,-3.555,32194.0
85.0,25.0,40.0,978.0,9.19,4.697,-1.241,4.493,32194.0
85.0,25.0,50.0,734.0,12.647,4.697,1.373,7.95,32194.0
95.0,10.0,30.0,1150.0,15.264,4.695,0.138,10.569,28808.0
95.0,10.0,40.0,862.0,18.361,4.695,3.059,13.666,28808.0
95.0,10.0,50.0,734.0,35.899,4.695,12.536,31.204,28808.0
95.0,15.0,30.0,1138.0,3.139,4.695,-3.689,-1.556,28808.0
95.0,15.0,40.0,788.0,7.163,4.695,-1.438,2.468,28808.0
95.0,15.0,50.0,652.0,14.28,4.695,2.745,9.585,28808.0
95.0,20.0,30.0,1152.0,2.469,4.695,-3.915,-2.226,28808.0
95.0,20.0,40.0,814.0,8.049,4.695,-1.129,3.354,28808.0
95.0,20.0,50.0,628.0,11.304,4.695,1.337,6.609,28808.0
95.0,25.0,30.0,1442.0,5.382,4.695,-3.422,0.687,28808.0
95.0,25.0,40.0,848.0,7.836,4.695,-1.339,3.141,28808.0
95.0,25.0,50.0,624.0,19.344,4.695,5.669,14.649,28808.0
105.0,10.0,30.0,1012.0,13.676,4.663,0.308,9.013,26064.0
105.0,10.0,40.0,796.0,27.529,4.663,7.756,22.866,26064.0
105.0,10.0,50.0,670.0,30.053,4.663,10.715,25.39,26064.0
105.0,15.0,30.0,1032.0,2.533,4.663,-3.76,-2.13,26064.0
105.0,15.0,40.0,728.0,12.169,4.663,1.213,7.506,26064.0
105.0,15.0,50.0,610.0,14.878,4.663,3.421,10.215,26064.0
105.0,20.0,30.0,1050.0,7.09,4.663,-2.182,2.427,26064.0
105.0,20.0,40.0,746.0,8.704,4.663,-0.535,4.041,26064.0
105.0,20.0,50.0,548.0,25.278,4.663,9.95,20.615,26064.0
105.0,25.0,30.0,1316.0,11.184,4.663,-1.663,6.521,26064.0
105.0,25.0,40.0,766.0,11.669,4.663,0.762,7.006,26064.0
105.0,25.0,50.0,552.0,8.292,4.663,0.112,3.629,26064.0
115.0,10.0,30.0,894.0,10.307,4.718,-0.502,5.589,23800.0
115.0,10.0,40.0,714.0,23.225,4.718,6.655,18.507,23800.0
115.0,10.0,50.0,634.0,13.318,4.718,2.347,8.6,23800.0
115.0,15.0,30.0,908.0,9.227,4.718,-0.996,4.509,23800.0
115.0,15.0,40.0,658.0,14.355,4.718,2.716,9.637,23800.0
115.0,15.0,50.0,550.0,12.652,4.718,2.582,7.934,23800.0
115.0,20.0,30.0,986.0,7.457,4.718,-1.936,2.739,23800.0
115.0,20.0,40.0,638.0,19.737,4.718,5.71,15.019,23800.0
115.0,20.0,50.0,532.0,13.206,4.718,3.04,8.488,23800.0
115.0,25.0,30.0,1190.0,11.575,4.718,-1.196,6.857,23800.0
115.0,25.0,40.0,660.0,6.194,4.718,-1.517,1.476,23800.0
115.0,25.0,50.0,510.0,6.097,4.718,-1.057,1.379,23800.0
